Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,,
5745406560,"Aug 5, 2021, 9:28:43 PM",Afternoon Run,Run,,1051,3.74
5755731563,"Aug 7, 2021, 10:31:07 PM",Glass shin vibes,Run,,2044,6.53
5761299583,"Aug 8, 2021, 10:22:08 PM",Glass shin easy run ft jon,Run,,1083,3.47
5766264333,"Aug 9, 2021, 9:59:03 PM",Glass shins: the trilogy,Run,,1511,5.03
5772248695,"Aug 10, 2021, 10:39:02 PM",Glass shins: A New Hope,Run,Can you have tetanus of the ankle?Â¿,1590,5.06
5783551291,"Aug 12, 2021, 11:33:17 PM",Evening Ride,Ride,,3848,19.63
5788114044,"Aug 13, 2021, 10:40:09 PM",Evening Run,Run,,1289,4.5
5793799280,"Aug 14, 2021, 10:54:48 PM",Evening Run,Run,,3491,9.78
5804337371,"Aug 16, 2021, 10:44:15 PM",2 mile TT for old times sake,Run,"Not in my prime, but not awful ",788,3.32
5809840102,"Aug 17, 2021, 10:41:18 PM",Evening Run,Run,,1047,3.67
5821613908,"Aug 20, 2021, 4:34:26 AM",Evening Hike,Hike,,1303,1.44
5821688861,"Aug 20, 2021, 5:04:39 AM",Evening Hike,Hike,,1891,1.29
5824709542,"Aug 20, 2021, 5:26:16 PM",Morning Run,Run,,1505,4.98
5826164771,"Aug 21, 2021, 12:59:37 AM",Afternoon Hike,Hike,,1320,1.57
5826167272,"Aug 21, 2021, 1:29:10 AM",Afternoon Hike,Hike,,1284,1.32
5831580128,"Aug 21, 2021, 8:25:41 PM",Morning Hike,Hike,,13529,10.37
5832104590,"Aug 22, 2021, 12:40:11 AM",Afternoon Hike,Hike,,12944,7.39
5840705861,"Aug 22, 2021, 11:45:19 PM",Spartan Sprint Oahu,Run,,4560,6.27
5841827503,"Aug 23, 2021, 6:00:39 PM",Chon's Reef Surfing,Surfing,,7200,0
5858483508,"Aug 26, 2021, 8:29:32 PM",First run back on continent,Run,It's actually cooler in Hawaii I swear,1699,5.68
5864033421,"Aug 28, 2021, 1:58:38 AM",Night Run,Run,,929,3.21
5874699592,"Aug 29, 2021, 10:21:44 PM",Evening Run,Run,,1966,6.44
5879742526,"Aug 31, 2021, 12:07:45 AM",Evening Run,Run,,906,3.22
5885133281,"Aug 31, 2021, 11:28:15 PM",Gym cuz small,Weight Training,,6240,0
5890456989,"Sep 1, 2021, 9:19:39 PM",Afternoon Run,Run,1:18 PR,1621,5.63
5895892776,"Sep 2, 2021, 10:35:11 PM",Evening Run,Run,,849,3.22
5900885889,"Sep 3, 2021, 10:13:07 PM",Evening Run,Run,,2898,10.03
5917917250,"Sep 6, 2021, 10:09:00 PM",Evening Run,Run,,943,3.3
5923548350,"Sep 7, 2021, 9:44:24 PM",Afternoon Run,Run,,1372,5.02
5928096739,"Sep 8, 2021, 6:14:21 PM",Afternoon Run,Run,,101,0.46
5928205587,"Sep 8, 2021, 6:20:21 PM",Afternoon Run,Run,,448,1.64
5938031775,"Sep 10, 2021, 4:48:20 PM",Lunch Run,Run,,853,3.27
5944807269,"Sep 11, 2021, 9:27:21 PM",Afternoon Run,Run,,1004,3.67
5953808228,"Sep 13, 2021, 2:28:49 PM",Morning Run,Run,,858,3.22
5961502896,"Sep 14, 2021, 9:59:15 PM",Afternoon Ride,Ride,,3271,19.48
5966920513,"Sep 15, 2021, 10:18:17 PM",Evening Ride,Ride,,2502,14.65
5976154456,"Sep 17, 2021, 6:55:42 PM",Afternoon Run,Run,,1604,5.67
5983014686,"Sep 19, 2021, 3:05:10 AM",Night Run,Run,,416,1.6
5992009526,"Sep 20, 2021, 5:37:05 PM",Afternoon Run,Run,,1380,5.04
5998183749,"Sep 21, 2021, 9:25:23 PM",Afternoon Run,Run,"Watch gps buggin, 2.00 miles",833,3.12
6008814263,"Sep 23, 2021, 9:41:41 PM",Afternoon Run,Run,,3047,9.66
6013295138,"Sep 24, 2021, 9:18:39 PM",Afternoon Run,Run,,881,3.23
6019229626,"Sep 25, 2021, 10:11:36 PM",Evening Ride,Ride,,2580,14.7
6030237529,"Sep 28, 2021, 12:53:43 AM",Evening Run,Run,,864,3.22
6035002816,"Sep 28, 2021, 10:05:18 PM",Evening Run,Run,,956,3.65
6044730924,"Sep 30, 2021, 9:41:35 PM",Washed up 5k PR maybe?,Run,"I hate my watch, started recording with my phone around a mile in when I noticed my watch said I was doing 11 second mile splits",1288,4.99
6049182574,"Oct 1, 2021, 10:01:11 PM",Evening Run,Run,,393,1.6
6058365171,"Oct 3, 2021, 1:23:34 PM",Morning Swim,Swim,,1318,"1,609"
6068490410,"Oct 5, 2021, 5:58:08 PM",Afternoon Run,Run,,815,3.24
6074176820,"Oct 6, 2021, 8:26:06 PM",Afternoon Run,Run,,369,1.61
6079546307,"Oct 7, 2021, 10:50:08 PM",I messed up the gps part 19588493,Run,,1309,4.98
6088898727,"Oct 9, 2021, 6:56:04 PM",Afternoon Run,Run,,805,3.27
6099409885,"Oct 11, 2021, 9:57:03 PM",Afternoon Run,Run,,811,3.27